
44023	IN	00120000	00000000	E
44024	IN	00004500	00003233	B
44025	KY	00002965	00000000	E
44026	IN	00002850	00000000	E
44027	IN	00010650	00000772	B
44028	KY	00004485	00000000	E
44029	KY	00229800	00000000	E
44030	NY	00003850	00000000	E
44031	IN	00005635	00000000	E
44032	TX	00125000	00000000	E
44033	IN	00006575	00000477	B
44034	IN	00008045	00000583	B
44035	OK	00003050	00000000	E
44036	IN	00003895	00000282	B
44037	IN	00002250	00000163	B
44038	MA	00002250	00000000	E
44039	IN	00003050	00000221	B
44040	KY	00002050	00000000	E
44041	TX	00140000	00000000	E
44042	IN	00004050	00000000	E
44043	IN	00120000	00000000	E
44044	OH	00004450	00000323	B
44045	IN	00002950	00000215	B
44046	IN	00002850	00000000	E
44047	IN	00010650	00000772	B
44048	IN	00004485	00000325	B
44049	TX	00002298	00000000	E
44050	IN	00003850	00000000	E
44051	TX	00005635	00000000	E
44052	IN	00125000	00000000	E
44053	IN	00006875	00000477	B
44054	IN	00008045	00000583	B
44055	IN	00003050	00000221	B
44056	IN	00003895	00000000	E
44057	KY	00002250	00000000	E
44058	IN	00002250	00000163	B
44059	IN	00003050	00000221	B
44060	IN	00002050	00000149	B
44061	TX	00140000	00000000	E
44062	IN	00004025	00000000	E
44063	TX	00120000	00000000	E
44064	IN	00004450	00000323	B
44065	IN	00002965	00000215	B
44066	IN	00002850	00000207	B
44067	KY	00010650	00000000	E
44068	IN	00004485	00000325	B
44069	IN	00229800	00016661	B
44070	OH	00003850	00000000	E
44071	TN	00005635	00000409	B
44072	IN	00125000	00009063	B
44073	IN	00006575	00000477	B
44074	TN	00008045	00000000	E
44075	TX	00003050	00000000	E
44076	IN	00003895	00000000	E
44077	IN	00002250	00000163	B
44078	IN	00002250	00000163	B
44079	IN	00003050	00000221	B
44080	TX	00002050	00000000	E
44081	IN	00140000	00010150	B
44082	KY	00004025	00000000	E
44083	IN	00120000	00008700	B
44084	IN	00004450	00000323	B
44085	IN	00002950	00000000	E
44086	TX	00002850	00000000	E
44087	TN	00010650	00000000	E
44088	IN	00004485	00000325	X
44089	IN	00229800	00016661	B
44090	IN	00003850	00000000	E
44091	KY	00005635	00000000	E
44092	TX	00125000	00000000	E
44093	IN	00006575	00000000	E
44094	IN	00008045	00000583	B
44095	IN	00003050	00000221	B
44096	IN	00003895	00000000	E
44097	IN	00002250	00000163	B
44098	IN	00002250	00000163	X
44099	IN	00003050	00000000	E
44100	IN	00002050	11111149	B
44101	IN	00140000	00010150	B
44102	KY	00004025	00000000	E



